Item Code,Base Code,Tag,Route,Dose,Frequency,Note
050000000158,,น้ำเกลือ,SC,ซีซี,,
020000000109,,น้ำเกลือ,SC,ซีซี,,
050000000159,,น้ำเกลือ,SC,กิโลกรัม,,
020000000058,,น้ำเกลือ,SC,ซีซี,,
020000000108,,น้ำเกลือ,SC,ซีซี,,
020000000057,,น้ำเกลือ,SC,ซีซี,,
030000000019,,น้ำเกลือ,,ครั้ง,,
030000000094,,น้ำเกลือ|สัตว์ป่วยใน,,ครั้ง,,
030000000026,,น้ำเกลือ,,ครั้ง,,
050000000167,,น้ำเกลือ,IV,ขวด,Rate    ml/hr,
050000000133,,น้ำเกลือ,IV,ขวด,Rate    ml/hr,
020000000006,,ยาฉีด,SC,ซีซี,,
020000000102,,ยาฉีด,SC,ซีซี,,
010000000001,,ยาฉีด,SC,ซีซี,,
020000000010,,ยาฉีด,SC,ซีซี,,
020000000011,,ยาฉีด,IV /CRI,ซีซี,Rate    ml/hr,
010000000303,,ยาฉีด,IV,ขวด,,
020000000127,,ยาฉีด,SC,ซีซี,,
020000000131,,ยาฉีด,IV,ขวด,,
020000000016,,ยาฉีด,SC,ซีซี,,
010000000315,,ยาฉีด,SC,ซีซี,,
010000000306,,ยาฉีด,SC,ซีซี,,
020000000019,,ยาฉีด,SC,ซีซี,,
020000000024,,ยาฉีด,IM,ซีซี,,
020000000023,,ยาฉีด,IV,ซีซี,,
020000000020,,ยาฉีด,IM,ซีซี,,
020000000141,,ยาฉีด,IM,ซีซี,,
020000000141-1,020000000141,ผ่าตัด,IM,ซีซี,IV,
020000000021,,ยาฉีด,IM,ซีซี,,
020000000021-1,020000000021,ผ่าตัด,IM,ซีซี,,ทำให้คลื่นไส้อาเจียนได้
020000000055,,ยาฉีด,IV slow,ซีซี,,
020000000055-1,020000000055,ยาฉุกเฉิน,IV,ซีซี,,
020000000126,,ยาฉีด,SC,ซีซี,,
000000000019,,ยาฉีด,SC,ซีซี,,
020000000047,,ยาฉีด,IV,ซีซี,,
020000000026,,ยาฉีด,IV,ซีซี,,
020000000059,,ยาฉีด,IV,ซีซี,,
020000000111,,ยาฉีด,IV,ซีซี,,
020000000038,,ยาฉีด,IV slow,ซีซี,,
020000000038-1,020000000038,ยาฉุกเฉิน,IV,ซีซี,,
020000000045,,ยาฉีด,SC,ซีซี,,
020000000110,,ยาฉีด,IV,ซีซี,,
020000000014,,ยาฉีด,IV,ซีซี,,
020000000028,,ยาฉีด,IV,ซีซี,,
020000000105,,ยาฉีด,IV,ซีซี,,
020000000105-1,020000000105,ผ่าตัด,IV,ซีซี,q2h,
020000000129,,ยาฉีด,IM,ซีซี,dilute IV,
020000000115,,ยาฉีด,IM,ซีซี,,
020000000015,,ยาฉีด,IM,ซีซี,,
020000000158,,ยาฉีด,IV,ขวด,,
020000000002,,ยาฉีด,IV,ซีซี,,
020000000002-1,020000000002,ผ่าตัด,IV,ซีซี,q90min,
020000000003,,ยาฉีด,IV,ขวด,,
020000000033,,ยาฉีด,IM,ซีซี,,
000000000024,,ยาฉีด,SC,ขวด,,
020000000066,,ยาฉีด,IM,ซีซี,,
020000000134,,ยาฉีด,IM,ซีซี,,
020000000017,,ยาฉีด,IM,ซีซี,,
020000000161,,ยาฉีด,IV CRI,ขวด,Rate    ml/hr,
020000000018,,ยาฉีด,SC,ซีซี,,
020000000036,,ยาฉีด,IV,ซีซี,,
020000000100,,ยาฉีด,Nebulized,ซีซี,Dilute with NSS to a total volume of 20cc,
020000000039,,ยาฉีด,IV,กระปุก,,
020000000040,,ยาฉีด,IV,ซีซี,,
020000000074,,ยาฉีด,IM / SC,ซีซี,,
020000000155,,ยาฉีด,SC,ขวด,,
020000000042,,ยาฉีด,SC,ซีซี,,
020000000154,,ยาฉีด,SC,ขวด,,
020000000044,,ยาฉีด,IV,ซีซี,,
020000000130,,ยาฉีด,IM,ซีซี,,
020000000114,,ยาฉีด,IV,ซีซี,dilute IV,
020000000160,,ยาฉีด,IV,ซีซี,,
020000000106,,ยาฉีด,IM,ซีซี,,
020000000079,,ยาฉีด,IM /SC,ซีซี,,
010000000142,,ยาฉีด,SC / PO,ซีซี,,
020000000143,,ยาฉีด,SC,ซีซี,,
020000000054,,ยาฉีด,IV,Ampule,,
020000000101,,ยาฉีด,IM,ซีซี,,
050000000171,,ยาฉีด,IV,ขวด,,
020000000151,,ยาฉีด,SC,หลอด,,
020000000136,,ยาฉีด,PO,ซีซี,,
020000000062,,ยาฉีด,IM,ซีซี,,
020000000117,,ยาฉีด,SC,ซีซี,,
020000000061,,ยาฉีด,SC,ซีซี,,
020000000116,,ยาฉีด,slow IV/IM,ซีซี,,
020000000022,,ยาฉีด,IM,ซีซี,,
020000000091,,วัคซีน,SC,dose,,
020000000092,,วัคซีน,SC,dose,,
020000000094,,วัคซีน,SC,dose,,
020000000095,,วัคซีน,SC,dose,,
020000000041,,วัคซีน,SC,ซีซี,,
010000000184,,วัคซีน,PO,ซีซี,,
030000000082,,ผ่าตัด,,บาท,,
030000000076,,ผ่าตัด,,บาท,,
030000000079,,ผ่าตัด,,ครั้ง,,
020000000124,,ผ่าตัด,,กิโลกรัม,,
020000000125,,ผ่าตัด,,กิโลกรัม,,
030000000084,,ผ่าตัด,,บาท,,
020000000152,,ผ่าตัด,IV,ซีซี,,
020000000034,,ผ่าตัด,IV/PR,ซีซี,,
020000000034-1,020000000034,ยาฉุกเฉิน,IV,ซีซี,,per rectum
020000000069,,ผ่าตัด|ยาฉุกเฉิน,IV,ซีซี,,
020000000067,,ผ่าตัด,IH,ชั่วโมง,,
020000000153,,ผ่าตัด,IH,ชั่วโมง,,
020000000118,,ผ่าตัด,epidural/regional,ซีซี,,อาจเกิด hypotension
020000000065,,ผ่าตัด,,ซีซี,,อาจเกิด hypotension
050000000020,,ผ่าตัด,,อัน,,
020000000068,,ผ่าตัด,IM,ซีซี,dilute IV,ทำให้ seizure threshould ลดลง
020000000107,,ผ่าตัด,IM,ซีซี,,ทำให้คลื่นไส้อาเจียนได้
020000000070,,ผ่าตัด,regional,ซีซี,,
020000000077,,ผ่าตัด,IM,ซีซี,dilute IV,
050000000088,,วัสดุผ่าตัด,,ซอง,,
050000000089,,วัสดุผ่าตัด,,ซอง,,
050000000090,,วัสดุผ่าตัด,,ซอง,,
050000000091,,วัสดุผ่าตัด,,ซอง,,
050000000099,,วัสดุผ่าตัด,,ซอง,,
050000000100,,วัสดุผ่าตัด,,ซอง,,
050000000150,,วัสดุผ่าตัด,,ห่อ,,
050000000103,,วัสดุผ่าตัด,,ซอง,,
050000000104,,วัสดุผ่าตัด,,ซอง,,
050000000105,,วัสดุผ่าตัด,,ซอง,,
050000000177,,วัสดุผ่าตัด,,ซอง,,
050000000178,,วัสดุผ่าตัด,,ซอง,,
050000000170,,วัสดุผ่าตัด|ทำแผล,,แผ่น,,
050000000083,,วัสดุผ่าตัด,,ชิ้น,,
050000000132,,วัสดุผ่าตัด,,ขวด,,
050000000147,,วัสดุผ่าตัด|ทำแผล|หัตถการอื่นๆ,,ขวด,,
030000000089,,วัสดุผ่าตัด,,ครั้ง,,
030000000092,,วัสดุผ่าตัด,,บาท,,
050000000004,,วัสดุผ่าตัด|สัตว์ป่วยใน,,อัน,,
050000000005,,วัสดุผ่าตัด|สัตว์ป่วยใน,,อัน,,
