Item Code(รหัส),Description(ชื่อยา/บริการ),Trade Name(ชื่อการค้า),Common Name(ชื่อใช้เรียกบ่อย),Unit(หน่วยนับ),Receipt Category(หมวดใบเสร็จ),Alert Min,Alert Max,Formula,Sell Price(ราคาขาย),Rx Default,Status
'020000000068,Ketamine 50 mg (inj.),Ketamine 50 mg,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 100.00; 1.01-2 = 200.00; 2.01-3 = 300.00; 3.01-4 = 400.00; 4.01-5 = 500.00; 5.01-6 = 600.00; 6.01-7 = 700.00,ไม่มี,Active
'020000000069,Propofol (inj.),Propofol,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,C - Divide factor price,200.00 / 20,ไม่มี,Active
'020000000070,Xylocaine 2 % (inj.),Xylocaine 2 %,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 100.00; 1.01-2 = 180.00; 2.01-3 = 260.00; 3.01-4 = 340.00; 4.01-5 = 420.00,ไม่มี,Active
'020000000073,WINSULIN-N (NPH 100 iu/ml) 10 ml *ขวดเขียว*,WINSULIN-N (NPH 100 iu/ml),WINSULIN-N (NPH 100 iu/ml) 10 ml *ขวดเขียว*,ขวด,ค่ายานำกลับ,0,0,A - Unit price,400.00 / ขวด,มี,Active
'020000000074,Insugen-R (Regular) (inj.),Insugen-R (Regular),,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 100.00; 1.01-2 = 200.00,ไม่มี,Active
'020000000075,EPO 4000 IU/0.4ml(Epokine 4000),Epokine 4000/0.4ml,EPO 4000 IU/0.4ml ฮอร์โมนกระตุ้นสร้างเม็ดเลือด,หลอด,ค่ายานำกลับ,0,0,C - Divide factor price,390.00 / 1,มี,Active
'020000000076,Caninsulin 2.5 ml (40IU/ml),Caninsulin 2.5 ml,Caninsulin 2.5 ml,ขวด,ค่ายานำกลับ,0,0,A - Unit price,420.00 / ขวด,มี,Active
'020000000077,Zoletil 100 (VAC),Zoletil 100 (5 ml / ขวด),Zoletil 100,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,"0.01-0.3 = 200.00; 0.31-0.5 = 300.00; 0.51-1 = 500.00; 1.01-1.5 = 800.00; 1.51-2 = 1,000.00; 2.01-5 = 1,500.00",ไม่มี,Active
'020000000079,Oxytocin (inj.),Oxytocin,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 100.00; 1.01-2 = 200.00,ไม่มี,Active
'020000000081,Iohexal (Omnipaque 300) (inj.),Omnipaque 300,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-3 = 100.00; 3.01-4 = 130.00; 4.01-5 = 160.00; 5.01-6 = 190.00; 6.01-7 = 220.00; 7.01-8 = 250.00; 8.01-9 = 280.00,ไม่มี,Active
'020000000087,SDMA,SDMA,,ตัวอย่าง,ค่าตรวจทางห้องปฎิบัติการ,0.0,0.0,A - Unit price,500.00 / ตัวอย่าง; 500.00 / ตัวอย่าง,ไม่มี,Active
'020000000088,Feline Pro BNP,,Feline Pro BNP,ตัวอย่าง,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,600.00 / ตัวอย่าง,ไม่มี,Active
'020000000089,เพาะแยกเชื้อราและทดสอบความไวยา,,,ตัวอย่าง,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,"1,750.00 / ตัวอย่าง",ไม่มี,Active
'020000000091,Rabies vaccine (Rabisin) วัคซีนพิษสุนัขบ้า,Rabisin,วัคซีนพิษสุนัขบ้า,dose,ค่าวัคซีน,0,0,A - Unit price,60.00 / dose,ไม่มี,Active
'020000000092,Vanguard HTLP 5/CV-L vaccine (วัคซีนรวม 5 โรค),Vanguard HTLP 5/CV-L,วัคซีนรวม 5 โรค,dose,ค่าวัคซีน,0,0,A - Unit price,200.00 / dose,ไม่มี,Active
'020000000094,Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci vaccine (Novibac:Feline 1-HCPCh) วัคซีนไข้หัด-หวัดแมว,Novibac:Feline 1-HCPCh,วัคซีนไข้หัด-หวัดแมว,dose,ค่าวัคซีน,0,0,A - Unit price,200.00 / dose,ไม่มี,Active
'020000000095,Feline Leukemia vaccine (Nobivac:Feline 2-FeLV) วัคซีนลิวคีเมีย,Nobivac:Feline 2-FeLV,วัคซีนลิวคีเมีย,dose,ค่าวัคซีน,0,0,A - Unit price,300.00 / dose,ไม่มี,Active
'020000000098,Diazepam0.1-1ml/ไซริงค์ (สวนทวาร),Diazepam,Diazepam(0.1-1ml)/ ยาระงับชักสวนก้น,ไซริงค์,ค่ายานำกลับ,0,0,A - Unit price,30.00 / ไซริงค์,มี,Active
