Item Code(รหัส),Description(ชื่อยา/บริการ),Trade Name(ชื่อการค้า),Common Name(ชื่อใช้เรียกบ่อย),Unit(หน่วยนับ),Receipt Category(หมวดใบเสร็จ),Alert Min,Alert Max,Formula,Sell Price(ราคาขาย),Rx Default,Status
'000000000002,Enrofloxacin 15 mg (Baytril 15 mg),Baytril 15 mg,Baytril 15 mg(ยาปฏิชีวนะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,25.00 / เม็ด,มี,Active
'000000000005,Amoxicillin 250 mg *Capsule*,Amoxicillin 250 mg,Amoxicillin 250 mg (ปฏิชีวนะ),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,5.00 / แคปซูล,มี,Active
'000000000008,(TEST)TEST10mg(TEST 10)(inj.)(ml),TEST 10 บ. ทดสอบ,TEST 10mg ยาทดสอบระบบ,Test,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-1 = 100.00; 1.01-2 = 150.00; 2.01-10 = 500.00,ไม่มี,Active
'000000000009,fenbendazole 200mg/ml,fenbendazole 200mg/ml ยาถ่ายพยาธิ/โปรโตซัว,fenbendazole 200mg/ml  ยาถ่ายพยาธิ/โปรโตซัว,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-10 = 250.00; 10.01-20 = 450.00; 20.01-30 = 650.00,ไม่มี,Active
'000000000010,fenbendazole *-*ป้อนที่รพส*-*,Panacur,fenbendazole (Panacur) ยาถ่ายพยาธิ/โปรโตซัว,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-1 = 50.00; 1.01-2 = 100.00; 2.01-3 = 150.00,ไม่มี,Active
'000000000012,Tolfedine (Tolfedine 60 mg),Tolfedine (Tolfedine 60 mg),Tolfedine (Tolfedine 60 mg)  ลดไข้ ลดอักเสบ,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,30.00 / เม็ด,มี,Active
'000000000015,Vcheck Cortisol,Vcheck Cortisol,Vcheck Cortisol,Test,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,800.00 / Test,ไม่มี,Active
'000000000016,samylin small breed S (ซอง),samylin small breed S (ซอง),samylin small breed S (แบบซอง),ซอง,ค่ายานำกลับ,0,0,A - Unit price,70.00 / ซอง,มี,Active
'000000000017,TEP-Plus Spray 30 ml,TEP-Plus Spray 30 ml,TEP-Plus Spray 30 ml (น้ำยาฆ่าเชื้อ),ขวด,ค่ายานำกลับ,0,0,A - Unit price,200.00 / ขวด,มี,Active
'000000000018,A:G,Albumin : Globulin ratio,A:G,ครั้ง,ค่าตรวจทางห้องปฎิบัติการ,0.0,0.0,A - Unit price,100.00 / ครั้ง,ไม่มี,Active
'000000000019,cerenia (maropitant 10mg/mL),cerenia (maropitant 10mg/mL),cerenia (maropitant 10mg/mL),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,"0.01-0.3 = 150.00; 0.31-0.5 = 200.00; 0.51-0.8 = 275.00; 0.81-1 = 350.00; 1.01-1.5 = 525.00; 1.51-2 = 700.00; 2.01-2.5 = 875.00; 2.51-3 = 1,050.00; 3.01-3.5 = 1,225.00; 3.51-4 = 1,400.00; 4.01-4.5 = 1,575.00; 4.51-5 = 1,750.00",ไม่มี,Active
'000000000020,Total T4 (Feline),Total T4 (Feline),Total T4 (Feline),ตัวอย่าง,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,850.00 / ตัวอย่าง,ไม่มี,Active
'000000000021,เพาะเชื้อแบคทีเรีย (Anaerobic) และทดสอบความไวต่อยาปฏิชีวนะ (Bacterial Culture and Drug Sensitivity),เพาะเชื้อแบคทีเรีย (Anaerobic) และทดสอบความไวต่อยาปฏิชีวนะ (Bacterial Culture and Drug Sensitivity),เพาะเชื้อแบคทีเรีย (Anaerobic) และทดสอบความไวต่อยาปฏิชีวนะ (Bacterial Culture and Drug Sensitivity),ครั้ง,ค่าตรวจทางห้องปฎิบัติการ,0.0,0.0,A - Unit price,"1,000.00 / ครั้ง; 1,000.00 / ครั้ง",ไม่มี,Active
'000000000022,Amoxicillin 50 mg + Clavulanic 12.5 mg (AMC 62.5),Amoxicillin 50 mg + Clavulanic 12.5 mg (AMC 62.5),(Amoxi50 mg + Clav12.5 mg) /ปฏิชีวนะ**AMC 62.5**,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,10.00 / เม็ด,มี,Active
'000000000023,Florgut (Probiotics+Prebiotics),Florgut (Probiotics+Prebiotics),Florgut (ปรับสมดุลลำไส้),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,15.00 / แคปซูล,มี,Active
'000000000024,Cytopoint 40 mg/ml (lokivetmabi),Cytopoint,Cytopoint,ขวด,ค่ายาฉีด / สารน้ำ,0.0,0.0,B - Range price,"0.01-0.25 = 2,000.00; 0.26-0.5 = 2,500.00; 0.51-0.75 = 3,500.00; 0.76-1 = 4,000.00",ไม่มี,Active
'000000000025,Cotton swab (sterile),Cotton swab (sterile),Cotton swab (sterile),ชิ้น,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,5.00 / ชิ้น; 5.00 / ชิ้น,ไม่มี,Active
'000000000026,Bone pin,Bone pin,Bone pin,อัน,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,300.00 / อัน; 300.00 / อัน,ไม่มี,Active
'000000000027,NSS 100 ml  (Klean&Kare) น้ำเกลือล้างแผล,NSS 100 ml  (Klean&Kare) น้ำเกลือล้างแผล,NSS 100 ml  (Klean&Kare) น้ำเกลือล้างแผล,ขวด,ค่ายานำกลับ,0,0,A - Unit price,30.00 / ขวด,มี,Active
'000000000029,Otosense (Ear Cleansing Solution),Otosense (น้ำยาล้างหู),Otosense (น้ำยาล้างหู),ขวด,ค่ายานำกลับ,0,0,A - Unit price,315.00 / ขวด,ไม่มี,Active
'000000000031,Taheebo/ยับยั้งเนื้องอก,Taheebo/ยับยั้งเนื้องอก,Taheebo/ยับยั้งเนื้องอก,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,60.00 / เม็ด,มี,Active
'000000000033,สายป้อน PG,สายป้อน PG,สายป้อน PG,เส้น,ค่าเวชภัณฑ์ / วัสดุการแพทย์,0.0,0.0,A - Unit price,50.00 / เส้น; 50.00 / เส้น,ไม่มี,Active
'000000000034,bravecto 40-56 kg. (fluralaner 1400 mg.),bravecto 40-56 kg. (fluralaner 1400 mg.),bravecto 40-56 kg. (fluralaner 1400 mg.),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,"1,080.00 / เม็ด",มี,Active
'000000000035,Methionine (Methovet),Methionine (Methovet),Methionine (Methovet) ปรับค่า pH ในปัสสาวะ,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,3.00 / เม็ด,มี,Active
'000000000036,Rx: Meropenem 1g.,Meropenem 1g.,Meropenem 1g.,ขวด,ค่ายานำกลับ,0.0,0.0,A - Unit price,300.00 / ขวด,มี,Active
'010000000001,Novaclav (Amoxicillin 140 mg + Calvulanic 35 mg),Novaclav 100 ml,Novaclav 100 ml,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 100.00; 1.01-1.5 = 120.00; 1.51-10 = 150.00,ไม่มี,Active
'010000000003,Amoxicillin 500 mg *Capsule*,Amoxicillin 500 mg,Amoxicillin 500 mg (ยาปฏิชีวนะ) สีเขียว+ฟ้า,แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,10.00 / แคปซูล,มี,Active
'010000000006,Amoxicillin 200 mg + Clavulanic 50 mg (AMC 250 mg),Amoxicillin 200 mg + Clavulanic 50 mg (AMC 250 mg),Amoxi200 mg + Clav50 mg/(AMC250) ยาปฏิชีวนะ,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,15.00 / เม็ด,มี,Active
'010000000011,Amoxicillin 125 mg + Clavulanic 31.25 mg (AMK 156.25 mg/5ml) 60 ml  *ขายยกขวด*,AMK 156.25 mg (AMC),AMK 156.25 mg/5ml (ปฏิชีวนะ),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-60 = 150.00,มี,Active
'010000000017,Cephalexin 500 mg*capsule*,Celex 500 mg,Cephalexin 500 mg (ปฏิชีวนะ) เม็ดสีส้ม+เทา,แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,15.00 / แคปซูล,มี,Active
'010000000018,Cephalexin syrup (25 mg/ml) *ยากิน*,Cephalexin syrup (25 mg/ml),Cephalexin syrup 125 mg (ปฏิชีวนะ),ซีซี,ค่ายานำกลับ,0,0,A - Unit price,100.00 / ซีซี,มี,Active
'010000000019,Ciprofloxacin 250 mg (Cifloxin 250 mg),Cifloxin 250 mg,Ciprofloxacin 250 mg (ปฏิชีวนะ)เม็ดกลมสีขาว,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,10.00 / เม็ด,มี,Active
'010000000022,Clindamycin 300 mg,Clindamycin 300 mg,Clindamycin 300 mg (ปฏิชีวนะ) สีชมพู,แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,15.00 / แคปซูล,มี,Active
'010000000023,Clindamycin syrup (25 mg/ml) 20 ml,Clindaguard,Antirobe Aquadrops (ปฏิชีวนะ),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.1-20 = 200.00,มี,Active
'010000000024,Doxycycline 100 mg (Siadocin 100 mg),Siadocin 100 mg,Doxycycline 100 mg (Antibiotic) (ปฏิชีวนะ/เม็ดสีเหลือง),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,7.00 / เม็ด,มี,Active
'010000000025,Vibravet 2.5g(ก้างปลา),Vibravet,Vibravet 2.5g (ยาปฏิชีวนะ),หลอด,ค่ายานำกลับ,0,0,A - Unit price,330.00 / หลอด,มี,Active
'010000000027,Enrofloxacin 50 mg (Baytril 50 mg),Baytril 50 mg,Baytril 50 mg (ปฏิชีวนะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,35.00 / เม็ด,มี,Active
'010000000028,Enrofloxacin 150 mg (Baytril 150 mg),Baytril 150 mg,Baytril 150 mg (Anbiotic) (ปฏิชีวนะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,65.00 / เม็ด,มี,Active
'010000000030,Enrofloxacin 100 mg/ml (Mycofloxacin 100 ),Mycofloxacin 100,Enrofloxacin 100 mg/ml (ปฏิชีวนะ),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-15 = 50.00; 15.01-30 = 100.00; 30.01-45 = 150.00; 45.01-60 = 200.00; 60.01-75 = 250.00; 75.01-100 = 300.00,มี,Active
'010000000032,Marbofloxacin 20 mg (Marbocyl 20 mg),Marbocyl 20 mg,Marbocyl 20 mg (ปฏิชีวนะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,70.00 / เม็ด,มี,Active
'010000000033,Marbofloxacin 80 mg (Marbocyl 80 mg),Marbocyl 80 mg,Marbocyl 80 mg (ปฏิชีวนะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,100.00 / เม็ด,มี,Active
'010000000034,Metronidazole 200 mg (Metrolex),Metrolex 200 mg,Metronidazole 200 mg (ปฏิชีวนะ) เม็ดกลมสีเหลืองNL,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000035,Metronidazole syrup (40 mg/ml) (Metrogyl),Metrogyl,Metronidazole syrup (ปฏิชีวนะ),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 100.00; 30.1-60 = 200.00,มี,Active
'010000000036,Norfloxacin 400 mg,Norfloxacin 400 mg,Norfloxacin 400 mg (ปฏิชีวนะ) เม็ดสีขาววงรี,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,10.00 / เม็ด,มี,Active
'010000000037,Sulfamethoxazole 400 mg + Trimetroprim 80 mg (Sulfa - tri 480 mg) (STMP),Sulfa - tri 480 mg,Sulfa - tri 480 mg (ปฏิชีวนะ) เม็ดสีขาวกลม,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000038,STMP syrup (Metrim 240 mg) (Sulfa-tri 48 mg/ml),stmp syrup 240 mg (48 mg/ml),Sulfa - tri syrup (ปฏิชีวนะ) สีชมพูนม,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 50.00; 30.01-60 = 100.00,มี,Active
'010000000039,Itraconazole 100 mg,Spornar 100 mg,Itraconazole 100 mg (รักษาเชื้อรา),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,30.00 / แคปซูล,มี,Active
'010000000043,Prednisolone 5 mg,Prednisolone 5 mg,Prednisolone 5 mg  (ลดอักเสบ/เม็ดกลมสีชมพู),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000044,Antinol (60 แคปซูล),Antinol,Antinol (60 แคปซูล) (บำรุงข้อ/ลดอักเสบ),เม็ด,ค่ายานำกลับ,0,0,C - Divide factor price,"1,600.00 / 1",มี,Active
'010000000045,Carprofen 25 mg (Rimadyl 25 mg),Rimadyl 25 mg,Rimadyl 25 mg (ลดอักเสบ/ลดปวด)เม็ดสี่เหลี่ยมเล็ก สีน้ำตาล,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,20.00 / เม็ด,มี,Active
'010000000046,Carprofen 75 mg (Rimadyl 75 mg),Rimadyl 75 mg,Rimadyl 75 mg (ลดอักเสบ/ลดปวด)เม็ดสี่เหลี่ยมใหญ่ สีน้ำตาล,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,30.00 / เม็ด,มี,Active
'010000000048,Previcox 227 mg,Previcox 227 mg,Previcox 227 mg (ลดปวด/ลดอักเสบ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,60.00 / เม็ด,มี,Active
'010000000049,Meloxicam 7.5 mg (Melox 7.5 mg),Melox 7.5 mg,Meloxicam 7.5 mg (ลดปวด/ลดอักเสบ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,10.00 / เม็ด,มี,Active
'010000000050,Onsior 20 mg (ลดปวด/ลดอักเสบ),Onsior 20 mg (ลดปวด/ลดอักเสบ),Onsior 20 mg (ลดปวด/ลดอักเสบ),เม็ด,ค่ายานำกลับ,0.0,0.0,A - Unit price,50.00 / เม็ด,มี,Active
'010000000052,Tolfenamic acid 6 mg (Tolfedine 6 mg),Tolfedine 6 mg,Tolfedine 6 mg (ลดปวด/ลดอักเสบ/ลดไข้),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,15.00 / เม็ด,มี,Active
'010000000054,Tramadol 50 mg,Tramadol 50 mg,Tramadol 50 mg (ลดปวด),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,5.00 / แคปซูล,มี,Active
'010000000055,Alutop (Aluminium Hydroxide),Alutop,Alutop (ดักจับฟอสฟอรัส),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000056,Cimetidine 200 mg (Tymet 200 mg),Tymet 200 mg,Cimetidine 200 mg (ลดกรด),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000058,Cisapride 10 mg (Cipasid 10 mg),Cipasid 10 mg,Cipasid 10 mg (กระตุ้นทางเดินอาหาร),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,8.00 / เม็ด,มี,Active
'010000000063,Famotidine 20 mg (Pepdenal),Pepdenal 20 mg,Famotidine 20 mg (ลดกรด/เม็ดสีส้มอ่อน),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000066,Lactulose (Hepalac) (100ml/ขวด),Hepalac,Lactulose (ยาระบาย),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 100.00; 30.01-100 = 190.00,มี,Active
'010000000067,Liquid Paraffin/**แบบแบ่งขาย**,Liquid Paraffin,Liquid Paraffin (หล่อลื่นทางเดินอาหาร),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 50.00; 30.01-60 = 100.00; 60.01-90 = 150.00; 90.01-120 = 200.00,มี,Active
'010000000068,Metoclopramide 10 mg (Nausil),Nausil 10 mg,Metoclopramide 10 mg (แก้อาเจียน),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000069,Metoclopramide syrup (1 mg/ml),Metoclopramide,Metoclopramide syrup (แก้อาเจียน),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 50.00,มี,Active
'010000000071,Simeticone 80 mg tab (Air - x tab),Air - x,Simeticone 80 mg / (ขับลม),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000072,Simeticone syrup (Air - x drop) (15 ml/ขวด),Air - x drop,Air - x drop (ขับลม),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-15 = 80.00,มี,Active
'010000000074,Sucralfate 1 g (Ulsanic 1 g),Ulsanic 1 g,Sucralfate 1 g (เคลือบกระเพาะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,10.00 / เม็ด,มี,Active
'010000000075,Sucralfate syrup (200 mg/1 ml) **1ขวดมี 60 ml**,Ulcefate 1 g,Sucralfate syrup (เคลือบกระเพาะ),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 100.00; 30.01-60 = 200.00,มี,Active
'010000000076,Ursodeoxycholic 250 mg (Ursolin 250 mg),Ursolin 250 mg,Ursolin 250 mg (กระตุ้นการบีบตัวของถุงน้ำดี),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,15.00 / แคปซูล,มี,Active
'010000000077,Activated Charchoal (Ultracarbon 250 mg),Ultracarbon 250 mg,Ultracarbon 250 mg (ดูดซับสารพิษ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,10.00 / เม็ด,มี,Active
'010000000082,Carbocysteine 375 mg (Muflex),Muflex 375 mg,Carbocysteine 375 mg (ละลายเสมหะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000083,Bromhexine 8 mg,Bromhexine 8 mg,Bromhexine 8 mg /ละลายเสมหะ,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000085,Carbocysteine (50 mg/ml) (Muflex syrup),Muflex syrup,Muflex syrup (ละลายเสมหะ/สีส้ม),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 50.00; 30.01-60 = 100.00,มี,Active
'010000000087,Dextromethorphan 15 mg (Decof 15 mg),Decof 15 mg,Dextromethorphan 15 mg (แก้ไอ) เม็ดกลมสีเขียว,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000088,Doxofylline 400 mg *Tab*,Puroxan tablet,Doxofylline 400 mg/ยาขยายหลอดลม*Tab*,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,20.00 / เม็ด,มี,Active
'010000000089,Doxofylline 100 mg/5 ml (แบ่งขาย 30ml/ยกขวดคือ100ml),Puroxan syrup,Doxofylline 100 mg/5 ml /ยาขยายหลอดลม/สีใส,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 50.00; 30.01-60 = 100.00; 60.01-100 = 150.00,มี,Active
'010000000092,Theophylline 200 mg (Nuelin 200 mg),Nuelin 200 mg,Theophylline 200 mg (ขยายหลอดลม),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000093,Theophylline syrup (10 mg/ml) (Bronchil),Bronchil syrup,Theophylline syrup (Bronchil) (ขยายหลอดลม)/เหลืองอ่อน,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 50.00; 30.01-60 = 100.00,มี,Active
'010000000094,Amlodipine 5 mg (Amlopine 5 mg),Amlopine 5 mg,Amlodipine 5 mg (ลดความดันเลือด),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,8.00 / เม็ด,มี,Active
'010000000096,Diltiazem HCI 30 mg,DILIZEM,Diltiazem30 mg/ (ปรับอัตราการเต้นของหัวใจ)เม็ดสีขาว,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000097,Propranolol HCI 10 mg,Betalol,Propranolol HCI 10 mg/ปรับอัตราการเต้นของหัวใจ(ชมพู),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000098,Enalapril 5 mg,Anapril 5 mg,Enalapril 5 mg (ขยายหลอดเลือด),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000099,Clopidogrel 75 mg,Cadiqrel,Clopidogrel 75 mg /ป้องกันลิ่มเลือดอุดตัน,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,20.00 / เม็ด,มี,Active
'010000000100,Furosemide 40 mg (Furosic 40 mg ),Furosic,Furosic 40 mg (ยาขับน้ำ)/เม็ดสีขาว,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000103,Ramipril1.25 mg (Vasotop 1.25 mg),Vasotop 1.25 mg,Vasotop 1.25 mg (ขยายหลอดเลือด),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,25.00 / เม็ด,มี,Active
'010000000104,Sildenafil* 20 mg*,Sildenafil GPO,Sildenafil *20 mg*/ลดความดันในปอด,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,20.00 / เม็ด,มี,Active
'010000000105,Spironolactone 25 mg (Hyles 25 mg),Hyles 25 mg,Spironolactone 25 mg (ขับน้ำ)/เม็ดสีเหลือง,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,8.00 / เม็ด,มี,Active
'010000000106,Aktivait  breed M&L (บำรุงร่ายกาย),Aktivait  breed M&L (บำรุงร่ายกาย),(Rx) Aktivait  breed M&L (บำรุงร่ายกาย),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,50.00 / แคปซูล,มี,Active
'010000000108,Diazepam 5 mg tablet (GPO),Divopan 5 mg,Diazepam 5 mg (คลายหูรูดทางเดินปัสสาวะ/เม็ดสีเหลืองเข้ม),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000109,Gabapentin 100 mg (Gabutin 100 mg),Gabutin 100 mg,Gabutin 100 mg (ลดอาการปวดจากระบบประสาท),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,15.00 / แคปซูล,มี,Active
'010000000110,Gabapentin 300 mg (Gabutin 300 mg),Gabutin 300 mg,Gabutin 300 mg (ลดอาการปวดจากระบบประสาท),แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,20.00 / แคปซูล,มี,Active
'010000000111,(Karsivan 50 mg)/Propentofylline 50 mg,Karsivan 50 mg,Karsivan 50 mg (เพิ่มการไหลเวียนเลือดไปเลี้ยงสมอง),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,30.00 / เม็ด,มี,Active
'010000000112,Methycobal (Mecobalamin 500 mcg) Vit B12,Methycobal 500 mcg,Mecobalamin 500 mcg(Vit B12) (บำรุงปลายประสาท),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,10.00 / เม็ด,มี,Active
'010000000115,Phenobarbital 30 mg (PB 30),Phenobarbital 30 mg,Phenobarbital 30 mg (ระงับชัก),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000116,Pyridostigmine Bromide 60 mg (Distinon 60 mg),Distinon 60 mg,Pyridostigmine Bromide 60 mg (กระตุ้นระบบประสาท),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,30.00 / เม็ด,มี,Active
'010000000117,Potassium Bromide (KBr) (200 mg/ml),Potassium Bromide (KBr),Potassium Bromide (KBr) (ระงับชัก) 200 mg/ml,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 100.00; 30.01-60 = 200.00; 60.01-120 = 400.00,มี,Active
'010000000118,Phenobarbital syrub (4 mg/ml) (PB syrub),Phenotal elixir 20 mg / 5 ml (PB syrub),Phenobarbital syrub 4 mg/ml /ยาระงับชัก,ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 50.00; 30.01-60 = 100.00; 60.01-90 = 150.00; 90.01-120 = 200.00,มี,Active
'010000000121,Oxavet 375 mg,Oxavet,Oxavet/ปัสสาวะเป็นกรด/สลายนิ่วOxlate,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000122,Bethanechol Chloride 10 mg (Ucholine 10 mg),Ucholine 10 mg,Ucholine 10 mg (กระตุ้นการบีบตัวของกระเพาะปัสสาวะ),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,15.00 / เม็ด,มี,Active
'010000000124,Feline cystaid *แคปซูล*,Feline cystaid,Feline cystaid /บำรุงผนังกระเพาะปัสสาวะ,แคปซูล,ค่ายานำกลับ,0,0,A - Unit price,20.00 / แคปซูล,มี,Active
'010000000126,Hydroxyzine 25 mg /เม็ดกลมสีเหลือง,Trandrozine,Hydroxyzine 25 mg /แก้แพ้/ลดคัน)เม็ดสีเหลือง,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000127,Chlorpheniramine 4 mg (CPM),Chlorpheniramine 4 mg,Chlorpheniramine 4 mg (แก้แพ้/ลดคัน)สีเหลืองNL,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000128,Chlorpheniramine syrup (0.4mg/ml) (CPM syrup),Chlorpheniramine syrup,Chlorpheniramine syrup (แก้แพ้/ลดคัน),ซีซี,ค่ายานำกลับ,0.0,0.0,B - Range price,0.01-30 = 50.00; 30.01-60 = 100.00,มี,Active
'010000000130,Dimenhydrinate 50 mg (Dramamine 50 mg),Dramamine 50 mg,Dimenhydrinate 50 mg (ลดอาการมึนงง)/สีเหลือง,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000131,Hydroxyzine 10 mg (R-rax 10 mg),R-rax 10 mg,Hydroxyzine 10 mg (แก้แพ้/ลดอาการคัน),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,3.00 / เม็ด,มี,Active
'010000000133,Phenylepinephine (Sulidine) 10mg,Sulidine-CP 10 mg,Sulidine-CP 10 mg (แก้แพ้ลดน้ำมูก),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000136,Terbinafine 250 mg (ยารักษาเชื้อรา),Terbinafine 250 mg (ยารักษาเชื้อรา),Terbinafine 250 mg (ยารักษาเชื้อรา),เม็ด,ค่ายานำกลับ,0,0,A - Unit price,90.00 / เม็ด,มี,Active
'010000000137,Liquid Paraffin/**แบบยกขวด 450 ml**,Liquid Paraffin,Liquid Paraffin /หล่อลื่นทางเดินอาหาร,ซีซี,ค่ายานำกลับ,0,0,C - Divide factor price,300.00 / 1,มี,Active
'010000000139,FBC (Ferrous200mg)V.B1/B2/B12/Folic100mcg/calcium100mg,FBC /Foli-C(Fercalmin),FBC (เม็ดสีเลือดหมู)/ ยาบำรุงเลือด,เม็ด,ค่ายานำกลับ,0,0,A - Unit price,5.00 / เม็ด,มี,Active
'010000000140,Haemomaxx 100 ml ( บำรุงเลือดชนิดน้ำ),Haemomaxx ( บำรุงเลือดชนิดน้ำ),Haemomaxx ( บำรุงเลือด/ชนิดน้ำสีดำ),ซีซี,ค่ายานำกลับ,0,0,B - Range price,0.01-30 = 100.00; 30.01-100 = 170.00,มี,Active
